Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2022/2028;Greece;;Iran;;4;0
2022/2028;Greece;;Israel;;6;0
2022/2028;Greece;;Italy;;22;0
2022/2028;Greece;;Japan;;2;117334,027
2022/2028;Greece;;Kazakhstan;;2;0
2022/2028;Greece;;Saudi Arabia;;2;0
2022/2028;Greece;;Lebanon;;4;0
2022/2028;Greece;;Lithuania;;2;0
2022/2028;Greece;;Moldova;;4;0
2022/2028;Greece;;FYR Macedonia;;2;0
2022/2028;Greece;;Montenegro;;4;0
2022/2028;Greece;;Netherlands;;8;235333,1918
2022/2028;Greece;;Norway;;2;0
2022/2028;Greece;;Oman;;2;0
2022/2028;Greece;;Poland;;4;0
2022/2028;Greece;;Portugal;;18;0
2022/2028;Greece;;Romania;;12;0
2022/2028;Greece;;Russia;;8;471232,3771
2022/2028;Greece;;Singapore;;4;0
2022/2028;Greece;;Serbia;;20;0
2022/2028;Greece;;Switzerland;;4;0
2022/2028;Greece;;Slovenia;;2;0
2022/2028;Greece;;Sweden;;4;0
2022/2028;Greece;;Turkey;;4;0
2022/2028;Greece;;United Arab Emirates;;2;0
2022/2028;Greece;;Uruguay;;2;1731071,235
2022/2028;Greece;;USA;;6;0
2022/2028;Greece;;Venezuela;;2;0
2022/2028;Hungary;;Albania;;2;0
2022/2028;Hungary;;Argentina;;2;0
2022/2028;Hungary;;Austria;;20;0
2022/2028;Hungary;;Azerbaijan;;2;0
2022/2028;Hungary;;Belgium;;20;0
2022/2028;Hungary;;Bosnia-Herzegovina;;16;0
2022/2028;Hungary;;Belarus;;2;0
2022/2028;Hungary;;Brazil;;44;1710537,464
2022/2028;Hungary;;Bulgaria;;2;0
2022/2028;Hungary;;Canada;;2;0
2022/2028;Hungary;;Cameroon;;2;0
2022/2028;Hungary;;Colombia;;2;0
2022/2028;Hungary;;Croatia;;12;0
2022/2028;Hungary;;Cyprus;;6;0
2022/2028;Hungary;;Czech Republic;;6;0
2022/2028;Hungary;;Denmark;;2;0
2022/2028;Hungary;;Egypt;;2;0
2022/2028;Hungary;;England;;4;0
2022/2028;Hungary;;Spain;;12;0
2022/2028;Hungary;;France;;10;0
2022/2028;Hungary;;Georgia;;8;0
2022/2028;Hungary;;Germany;;14;0
2022/2028;Hungary;;Greece;;14;302687,3209
2022/2028;Hungary;;Israel;;8;0
2022/2028;Hungary;;Italy;;30;424831,7444
2022/2028;Hungary;;Jamaica;;2;0
2022/2028;Hungary;;Kazakhstan;;6;0
2022/2028;Hungary;;Liberia;;2;0
2022/2028;Hungary;;Lithuania;;2;0
2022/2028;Hungary;;Malta;;6;0
2022/2028;Hungary;;Montenegro;;4;0
2022/2028;Hungary;;Netherlands;;12;0
2022/2028;Hungary;;Nigeria;;6;0
2022/2028;Hungary;;Norway;;2;0
2022/2028;Hungary;;Poland;;4;0
2022/2028;Hungary;;Portugal;;24;0
2022/2028;Hungary;;Qatar;;2;0
2022/2028;Hungary;;Romania;;42;0
2022/2028;Hungary;;Russia;;2;0
2022/2028;Hungary;;Senegal;;2;0
2022/2028;Hungary;;Serbia;;22;298813,2947
2022/2028;Hungary;;Switzerland;;4;0
2022/2028;Hungary;;Slovakia;;22;0
2022/2028;Hungary;;Slovenia;;6;0
2022/2028;Hungary;;Turkey;;4;0
2022/2028;Hungary;;Ukraine;;4;0
2022/2028;Hungary;;Uzbekistan;;2;0
2022/2028;Hungary;;Venezuela;;2;0
2022/2028;Hungary;;Vietnam;;4;0
2022/2028;Republic of Ireland;;Australia;;8;0
2022/2028;Republic of Ireland;;Belgium;;2;0
2022/2028;Republic of Ireland;;Brazil;;2;0
2022/2028;Republic of Ireland;;Czech Republic;;2;0
2022/2028;Republic of Ireland;;England;;32;0
2022/2028;Republic of Ireland;;Finland;;4;0
2022/2028;Republic of Ireland;;Iceland;;2;0
2022/2028;Republic of Ireland;;Malta;;2;0
2022/2028;Republic of Ireland;;Northern Ireland;;6;0
2022/2028;Republic of Ireland;;Scotland;;14;0
2022/2028;Iceland;;Croatia;;4;0
2022/2028;Iceland;;Denmark;;20;37863,475
2022/2028;Iceland;;England;;22;0
2022/2028;Iceland;;Spain;;6;0
2022/2028;Iceland;;Finland;;2;0
2022/2028;Iceland;;Faroe Islands;;2;0
2022/2028;Iceland;;Germany;;2;0
2022/2028;Iceland;;Latvia;;4;0
2022/2028;Iceland;;FYR Macedonia;;2;0
2022/2028;Iceland;;Netherlands;;2;0
2022/2028;Iceland;;Norway;;20;0
2022/2028;Iceland;;Romania;;2;0
2022/2028;Iceland;;Scotland;;4;0
2022/2028;Iceland;;Serbia;;2;0
2022/2028;Iceland;;Switzerland;;2;0
2022/2028;Iceland;;Slovenia;;4;0
2022/2028;Iceland;;Sweden;;12;90623,00543
2022/2028;Israel;;Austria;;2;0
2022/2028;Israel;;Azerbaijan;;4;0
2022/2028;Israel;;Belgium;;10;100009,5175
2022/2028;Israel;;Bosnia-Herzegovina;;4;75000
2022/2028;Israel;;Brazil;;4;0
2022/2028;Israel;;Bulgaria;;12;705732,9512
2022/2028;Israel;;Canada;;2;0
2022/2028;Israel;;Congo DR;;2;0
2022/2028;Israel;;Croatia;;4;0
2022/2028;Israel;;Cyprus;;14;842234,2646
2022/2028;Israel;;Denmark;;2;0
2022/2028;Israel;;Egypt;;2;0
2022/2028;Israel;;England;;4;0
2022/2028;Israel;;Spain;;6;120193,7693
2022/2028;Israel;;France;;4;0
2022/2028;Israel;;Georgia;;6;0
2022/2028;Israel;;Germany;;4;2421498,567
2022/2028;Israel;;Ghana;;6;300000
2022/2028;Israel;;Greece;;4;0
2022/2028;Israel;;Guinea;;2;0
2022/2028;Israel;;Hungary;;4;1049316,046
2022/2028;Israel;;Italy;;4;11290597,67
2022/2028;Israel;;Kazakhstan;;2;0
2022/2028;Israel;;Liberia;;2;0
2022/2028;Israel;;Lithuania;;4;0
2022/2028;Israel;;Moldova;;2;0
2022/2028;Israel;;Netherlands;;6;0
2022/2028;Israel;;Nigeria;;10;450000
2022/2028;Israel;;Norway;;2;0
2022/2028;Israel;;Poland;;12;0
2022/2028;Israel;;Portugal;;4;0
2022/2028;Israel;;Romania;;10;0
2022/2028;Israel;;South Africa;;2;0
2022/2028;Israel;;Russia;;12;0
2022/2028;Israel;;Serbia;;12;0
2022/2028;Israel;;Switzerland;;4;0
2022/2028;Israel;;Slovenia;;2;403583,0945
2022/2028;Israel;;Sweden;;2;628938,5692
2022/2028;Israel;;Turkey;;4;0
2022/2028;Israel;;Ukraine;;2;0
2022/2028;Israel;;USA;;4;225000
2022/2028;Israel;;Vietnam;;4;0
2022/2028;Israel;;Wales;;4;0
2022/2028;Italy;;Argentina;;26;32781687,69
2022/2028;Italy;;Australia;;2;0
2022/2028;Italy;;Austria;;4;0
2022/2028;Italy;;Belgium;;16;8112864,272
2022/2028;Italy;;Brazil;;48;83319501,83
2022/2028;Italy;;Bulgaria;;6;160915,2943
2022/2028;Italy;;Chile;;10;36515219,09
2022/2028;Italy;;China PR;;2;0
2022/2028;Italy;;Colombia;;4;30300000
2022/2028;Italy;;Costa Rica;;2;330000
2022/2028;Italy;;Croatia;;14;87240054,54
2022/2028;Italy;;Cyprus;;2;0
2022/2028;Italy;;Czech Republic;;2;0
2022/2028;Italy;;Denmark;;6;13767361,88
2022/2028;Italy;;Ecuador;;4;878290,9324
2022/2028;Italy;;Egypt;;2;6174821,346
2022/2028;Italy;;England;;44;164027552,1
2022/2028;Italy;;Spain;;70;183801053,4
2022/2028;Italy;;Finland;;4;1049316,046
2022/2028;Italy;;France;;24;39820894,27
2022/2028;Italy;;Germany;;8;5749294,137
2022/2028;Italy;;Greece;;24;5305042,918
2022/2028;Italy;;Hungary;;8;443941,404
2022/2028;Italy;;Japan;;2;0
2022/2028;Italy;;Lithuania;;8;1368928,639
2022/2028;Italy;;Moldova;;2;0
2022/2028;Italy;;Mexico;;2;9000000
2022/2028;Italy;;Malta;;2;0
2022/2028;Italy;;Montenegro;;2;4886869,316
2022/2028;Italy;;Netherlands;;6;3384744,811
2022/2028;Italy;;Norway;;4;1092645,626
2022/2028;Italy;;Paraguay;;2;0
2022/2028;Italy;;Peru;;4;0
2022/2028;Italy;;Poland;;10;12073073,43
2022/2028;Italy;;Portugal;;24;84879005,25
2022/2028;Italy;;Romania;;22;7232759,008
2022/2028;Italy;;Russia;;6;4268198,044
2022/2028;Italy;;Scotland;;2;0
2022/2028;Italy;;Senegal;;2;0
2022/2028;Italy;;Serbia;;2;106206,0796
2022/2028;Italy;;Switzerland;;20;7331367,576
2022/2028;Italy;;Slovakia;;12;5850775,815
2022/2028;Italy;;Slovenia;;16;1861154,823
2022/2028;Italy;;Sweden;;10;9020082,162
2022/2028;Italy;;Tunisia;;2;0
2022/2028;Italy;;Turkey;;8;0
2022/2028;Italy;;United Arab Emirates;;2;0
2022/2028;Italy;;Ukraine;;4;3920234,504
2022/2028;Italy;;Uruguay;;32;49063034,14
2022/2028;Italy;;Venezuela;;2;398304,1187
2022/2028;Kazakhstan;;Austria;;4;0
2022/2028;Kazakhstan;;Azerbaijan;;2;0
2022/2028;Kazakhstan;;Bosnia-Herzegovina;;4;0
2022/2028;Kazakhstan;;Belarus;;12;210000
2022/2028;Kazakhstan;;Bulgaria;;12;0
2022/2028;Kazakhstan;;Cyprus;;2;0
2022/2028;Kazakhstan;;Czech Republic;;8;19665,10261
2022/2028;Kazakhstan;;Denmark;;2;0
2022/2028;Kazakhstan;;England;;2;0
2022/2028;Kazakhstan;;Spain;;4;0
2022/2028;Kazakhstan;;Finland;;4;0
2022/2028;Kazakhstan;;Georgia;;2;0
2022/2028;Kazakhstan;;Kyrgyzstan;;10;0
2022/2028;Kazakhstan;;Lithuania;;2;60000
2022/2028;Kazakhstan;;Latvia;;2;0
2022/2028;Kazakhstan;;Malaysia;;2;0
2022/2028;Kazakhstan;;Moldova;;6;0
2022/2028;Kazakhstan;;FYR Macedonia;;2;0
2022/2028;Kazakhstan;;Malta;;2;0
2022/2028;Kazakhstan;;Montenegro;;2;75000
2022/2028;Kazakhstan;;Netherlands;;2;0
2022/2028;Kazakhstan;;Peru;;2;0
2022/2028;Kazakhstan;;Poland;;4;0
2022/2028;Kazakhstan;;Portugal;;6;0
2022/2028;Kazakhstan;;Romania;;2;0
2022/2028;Kazakhstan;;Russia;;34;4314520,752
2022/2028;Kazakhstan;;El Salvador;;2;0
2022/2028;Kazakhstan;;Serbia;;12;450000
2022/2028;Kazakhstan;;Slovakia;;4;0
2022/2028;Kazakhstan;;Sweden;;2;0
2022/2028;Kazakhstan;;Tajikistan;;2;0
2022/2028;Kazakhstan;;Turkmenistan;;2;0
2022/2028;Kazakhstan;;Trinidad and Tobago;;4;0
2022/2028;Kazakhstan;;United Arab Emirates;;4;0
2022/2028;Kazakhstan;;Ukraine;;14;210000
2022/2028;Kazakhstan;;Uzbekistan;;20;990000
2022/2028;Kazakhstan;;Vietnam;;2;0
2022/2028;Kosovo;;Germany;;2;0
2022/2028;Kosovo;;Switzerland;;2;0
2022/2028;Lithuania;;Azerbaijan;;2;0
2022/2028;Lithuania;;Bosnia-Herzegovina;;2;0
2022/2028;Lithuania;;Belarus;;6;0
2022/2028;Lithuania;;Brazil;;2;0
2022/2028;Lithuania;;China PR;;2;0
2022/2028;Lithuania;;Croatia;;6;0
2022/2028;Lithuania;;Czech Republic;;2;0
2022/2028;Lithuania;;Denmark;;2;0
2022/2028;Lithuania;;Spain;;2;0
2022/2028;Lithuania;;Estonia;;2;0
2022/2028;Lithuania;;France;;8;0
2022/2028;Lithuania;;Georgia;;10;0
2022/2028;Lithuania;;Greece;;2;0
2022/2028;Lithuania;;Hungary;;2;0
2022/2028;Lithuania;;Italy;;14;0
2022/2028;Lithuania;;Kyrgyzstan;;2;0
2022/2028;Lithuania;;Lebanon;;2;39045,31154
2022/2028;Lithuania;;Latvia;;14;0
2022/2028;Lithuania;;Malaysia;;4;0
2022/2028;Lithuania;;Moldova;;2;0
2022/2028;Lithuania;;Malta;;2;0
2022/2028;Lithuania;;Netherlands;;2;0
2022/2028;Lithuania;;Poland;;8;0
2022/2028;Lithuania;;Romania;;2;0
2022/2028;Lithuania;;Russia;;8;0
2022/2028;Luxembourg;;Belgium;;28;0
2022/2028;Luxembourg;;Benin;;2;12107,49284
2022/2028;Luxembourg;;Bulgaria;;2;0
2022/2028;Luxembourg;;Spain;;2;0
2022/2028;Luxembourg;;France;;40;0
2022/2028;Luxembourg;;Germany;;10;0
2022/2028;Luxembourg;;Greece;;2;0
2022/2028;Luxembourg;;Italy;;2;0
2022/2028;Luxembourg;;Morocco;;4;0
2022/2028;Luxembourg;;Portugal;;6;0
2022/2028;Luxembourg;;Switzerland;;2;0
2022/2028;Luxembourg;;Turkey;;2;0
2022/2028;Latvia;;Azerbaijan;;6;0
2022/2028;Latvia;;Belarus;;4;0
2022/2028;Latvia;;Brazil;;4;0
2022/2028;Latvia;;Colombia;;2;0
2022/2028;Latvia;;Croatia;;2;0
2022/2028;Latvia;;Cyprus;;2;0
2022/2028;Latvia;;Czech Republic;;6;0
2022/2028;Latvia;;Estonia;;4;0
2022/2028;Latvia;;Finland;;2;0
2022/2028;Latvia;;Georgia;;12;0
2022/2028;Latvia;;Germany;;6;0
2022/2028;Latvia;;Indonesia;;2;0
2022/2028;Latvia;;Israel;;2;0
2022/2028;Latvia;;Kazakhstan;;2;0
2022/2028;Latvia;;Lithuania;;18;0
2022/2028;Latvia;;Moldova;;4;0
2022/2028;Latvia;;Norway;;2;0
2022/2028;Latvia;;Poland;;8;0
2022/2028;Latvia;;South Africa;;2;0
2022/2028;Latvia;;Russia;;20;0
2022/2028;Latvia;;Singapore;;2;0
2022/2028;Latvia;;Switzerland;;2;0
2022/2028;Latvia;;Sweden;;4;0
2022/2028;Latvia;;Thailand;;2;0
2022/2028;Latvia;;Ukraine;;8;0
2022/2028;Latvia;;Uzbekistan;;2;0
2022/2028;Moldova;;Armenia;;4;0
2022/2028;Moldova;;Azerbaijan;;16;0
2022/2028;Moldova;;Burkina Faso;;2;0
2022/2028;Moldova;;Belarus;;2;0
2022/2028;Moldova;;Brazil;;4;0
2022/2028;Moldova;;Bulgaria;;2;0
2022/2028;Moldova;;Cyprus;;4;0
2022/2028;Moldova;;Czech Republic;;2;0
2022/2028;Moldova;;Spain;;4;0
2022/2028;Moldova;;Georgia;;14;0
2022/2028;Moldova;;Germany;;2;0
2022/2028;Moldova;;Greece;;2;671006,4331
2022/2028;Moldova;;Hong Kong;;2;0
2022/2028;Moldova;;Israel;;2;0
2022/2028;Moldova;;Italy;;4;0
2022/2028;Moldova;;Japan;;2;0
2022/2028;Moldova;;Kazakhstan;;10;0
2022/2028;Moldova;;Lithuania;;2;0
2022/2028;Moldova;;Latvia;;2;0
2022/2028;Moldova;;Morocco;;2;0
2022/2028;Moldova;;FYR Macedonia;;2;0
2022/2028;Moldova;;Montenegro;;4;0
2022/2028;Moldova;;Myanmar;;2;0
2022/2028;Moldova;;Nigeria;;2;0
2022/2028;Moldova;;Panama;;2;165000
2022/2028;Moldova;;Poland;;4;0
2022/2028;Moldova;;Portugal;;6;0
2022/2028;Moldova;;Romania;;12;0
2022/2028;Moldova;;Russia;;34;38668,50196
2022/2028;Moldova;;Serbia;;6;1672182,521
2022/2028;Moldova;;Slovenia;;4;403583,0945
2022/2028;Moldova;;Sweden;;4;0
2022/2028;Moldova;;Thailand;;2;0
2022/2028;Moldova;;Ukraine;;10;0
2022/2028;Moldova;;Uzbekistan;;2;0
2022/2028;FYR Macedonia;;Albania;;10;0
2022/2028;FYR Macedonia;;Bosnia-Herzegovina;;4;0
2022/2028;FYR Macedonia;;Belarus;;2;0
2022/2028;FYR Macedonia;;Bulgaria;;2;0
2022/2028;FYR Macedonia;;Canada;;2;0
2022/2028;FYR Macedonia;;Croatia;;8;0
2022/2028;FYR Macedonia;;Cyprus;;6;0
2022/2028;FYR Macedonia;;Czech Republic;;2;0
2022/2028;FYR Macedonia;;Spain;;2;0
2022/2028;FYR Macedonia;;Ghana;;2;0
2022/2028;FYR Macedonia;;Greece;;6;0
2022/2028;FYR Macedonia;;Hong Kong;;2;0
2022/2028;FYR Macedonia;;Hungary;;2;0
2022/2028;FYR Macedonia;;Iran;;4;0
2022/2028;FYR Macedonia;;Iceland;;2;0
2022/2028;FYR Macedonia;;Kazakhstan;;2;0
2022/2028;FYR Macedonia;;Saudi Arabia;;2;0
2022/2028;FYR Macedonia;;Moldova;;6;0
2022/2028;FYR Macedonia;;Malta;;2;0
2022/2028;FYR Macedonia;;Myanmar;;2;0
2022/2028;FYR Macedonia;;Netherlands;;2;0
2022/2028;FYR Macedonia;;Romania;;2;0
2022/2028;FYR Macedonia;;Russia;;2;0
2022/2028;FYR Macedonia;;Serbia;;30;0
2022/2028;FYR Macedonia;;Switzerland;;2;0
2022/2028;FYR Macedonia;;Slovakia;;2;0
2022/2028;FYR Macedonia;;Sweden;;2;0
2022/2028;FYR Macedonia;;Turkey;;2;0
2022/2028;Malta;;Albania;;4;0
2022/2028;Malta;;Argentina;;6;0
2022/2028;Malta;;Australia;;6;0
2022/2028;Malta;;Brazil;;24;0
2022/2028;Malta;;Bulgaria;;12;0
2022/2028;Malta;;China PR;;2;0
2022/2028;Malta;;Cameroon;;8;0
2022/2028;Malta;;Costa Rica;;2;0
2022/2028;Malta;;Cyprus;;2;0
2022/2028;Malta;;England;;16;0
2022/2028;Malta;;Spain;;14;0
2022/2028;Malta;;Finland;;2;0
2022/2028;Malta;;Germany;;4;0
2022/2028;Malta;;Ghana;;2;0
2022/2028;Malta;;Greece;;4;0
2022/2028;Malta;;Hungary;;2;0
2022/2028;Malta;;Iran;;2;0
2022/2028;Malta;;Italy;;12;0
2022/2028;Malta;;Lithuania;;2;0
2022/2028;Malta;;Malaysia;;2;0
2022/2028;Malta;;Montenegro;;2;0
2022/2028;Malta;;Netherlands;;2;0
2022/2028;Malta;;Nigeria;;6;0
2022/2028;Malta;;Poland;;2;0
2022/2028;Malta;;El Salvador;;2;0
2022/2028;Malta;;Serbia;;2;0
2022/2028;Malta;;Slovenia;;2;0
2022/2028;Malta;;Sweden;;2;0
2022/2028;Malta;;Tunisia;;2;0
2022/2028;Malta;;United Arab Emirates;;4;0
2022/2028;Malta;;Wales;;2;0
2022/2028;Montenegro;;Albania;;4;0
2022/2028;Montenegro;;Bosnia-Herzegovina;;2;0
2022/2028;Montenegro;;Hungary;;2;0
2022/2028;Montenegro;;Japan;;10;0
2022/2028;Montenegro;;Kuwait;;2;0
2022/2028;Montenegro;;Moldova;;2;403583,0945
2022/2028;Montenegro;;Netherlands;;2;0
2022/2028;Montenegro;;Poland;;2;0
2022/2028;Montenegro;;Singapore;;2;0
2022/2028;Montenegro;;Serbia;;24;0
2022/2028;Montenegro;;Thailand;;2;0
2022/2028;Netherlands;;Argentina;;4;0
2022/2028;Netherlands;;Australia;;8;0
2022/2028;Netherlands;;Austria;;6;0
2022/2028;Netherlands;;Belgium;;54;4356969,521
2022/2028;Netherlands;;Brazil;;2;0
2022/2028;Netherlands;;Canada;;2;0
2022/2028;Netherlands;;Chile;;4;12750000
2022/2028;Netherlands;;Cyprus;;2;504873,1272
2022/2028;Netherlands;;Czech Republic;;2;136456,5044
2022/2028;Netherlands;;Denmark;;12;20588333,93
2022/2028;Netherlands;;England;;30;6486136,94
2022/2028;Netherlands;;Spain;;6;1983523,531
2022/2028;Netherlands;;Finland;;4;0
2022/2028;Netherlands;;France;;4;2219707,02
2022/2028;Netherlands;;Germany;;36;7462400,74
2022/2028;Netherlands;;Ghana;;2;1157817,498
2022/2028;Netherlands;;Hungary;;6;282508,1662
2022/2028;Netherlands;;Iceland;;8;1709710,731
2022/2028;Netherlands;;Israel;;4;44458,71369
2022/2028;Netherlands;;Italy;;8;26232901,14
2022/2028;Netherlands;;Luxembourg;;2;390254,4618
2022/2028;Netherlands;;Norway;;6;10214501,34
2022/2028;Netherlands;;Poland;;10;1412540,831
2022/2028;Netherlands;;Scotland;;4;0
2022/2028;Netherlands;;Serbia;;4;4842997,538
2022/2028;Netherlands;;Switzerland;;6;0
2022/2028;Netherlands;;Sweden;;10;10590020,4
2022/2028;Netherlands;;Turkey;;4;0
2022/2028;Netherlands;;USA;;4;4125000
2022/2028;Netherlands;;Wales;;2;0
2022/2028;Northern Ireland;;Australia;;2;0
2022/2028;Northern Ireland;;England;;10;0
2022/2028;Northern Ireland;;Republic of Ireland;;16;0
2022/2028;Northern Ireland;;Scotland;;6;0
2022/2028;Northern Ireland;;Singapore;;2;0
2022/2028;Norway;;Austria;;2;386685,0196
2022/2028;Norway;;Belgium;;6;0
2022/2028;Norway;;Bosnia-Herzegovina;;2;0
2022/2028;Norway;;Brazil;;2;0
2022/2028;Norway;;Canada;;2;0
2022/2028;Norway;;Côte d'Ivoire;;6;1102954,297
2022/2028;Norway;;Costa Rica;;10;1500000
2022/2028;Norway;;Denmark;;40;5732620,417
2022/2028;Norway;;England;;26;359135,2247
2022/2028;Norway;;Spain;;14;2421498,567
2022/2028;Norway;;Finland;;2;2017915,473
2022/2028;Norway;;France;;8;0
2022/2028;Norway;;Faroe Islands;;4;0
2022/2028;Norway;;Germany;;8;3619502,696
2022/2028;Norway;;Greece;;2;0
2022/2028;Norway;;Hungary;;2;0
2022/2028;Norway;;Republic of Ireland;;2;0
2022/2028;Norway;;Iceland;;16;1164971,788
2022/2028;Norway;;Italy;;2;0
2022/2028;Norway;;Jamaica;;4;0
2022/2028;Norway;;Japan;;2;0
2022/2028;Norway;;Kazakhstan;;4;0
2022/2028;Norway;;Morocco;;2;4035830,945
2022/2028;Norway;;Moldova;;4;0
2022/2028;Norway;;Namibia;;2;0
2022/2028;Norway;;Netherlands;;2;0
2022/2028;Norway;;Nigeria;;2;1050000
2022/2028;Norway;;Paraguay;;2;0
2022/2028;Norway;;Poland;;10;0
2022/2028;Norway;;Romania;;4;0
2022/2028;Norway;;Scotland;;4;0
2022/2028;Norway;;Senegal;;2;449582,9474
2022/2028;Norway;;El Salvador;;4;210000
2022/2028;Norway;;Serbia;;2;0
2022/2028;Norway;;Switzerland;;4;443941,404
2022/2028;Norway;;Sweden;;58;5379847,785
2022/2028;Norway;;Thailand;;2;0
2022/2028;Norway;;Turkey;;2;0
2022/2028;Norway;;USA;;8;180000
2022/2028;Norway;;Uzbekistan;;2;0
2022/2028;Poland;;Albania;;2;0
2022/2028;Poland;;Austria;;2;0
2022/2028;Poland;;Belgium;;6;403583,0945
2022/2028;Poland;;Bosnia-Herzegovina;;4;0
2022/2028;Poland;;Belarus;;8;0
2022/2028;Poland;;Brazil;;4;0
2022/2028;Poland;;Bulgaria;;8;0
2022/2028;Poland;;Canada;;8;0
2022/2028;Poland;;China PR;;2;0
2022/2028;Poland;;Cameroon;;2;0
2022/2028;Poland;;Croatia;;4;0
2022/2028;Poland;;Cyprus;;10;0
2022/2028;Poland;;Czech Republic;;6;0
2022/2028;Poland;;Denmark;;2;0
2022/2028;Poland;;England;;2;0
2022/2028;Poland;;Spain;;6;0
2022/2028;Poland;;Estonia;;2;0
2022/2028;Poland;;Finland;;2;60537,46418
2022/2028;Poland;;France;;8;0
2022/2028;Poland;;Georgia;;6;0
2022/2028;Poland;;Germany;;12;0
2022/2028;Poland;;Ghana;;2;0
2022/2028;Poland;;Greece;;2;0
2022/2028;Poland;;Honduras;;2;990000
2022/2028;Poland;;Hungary;;6;343045,6303
2022/2028;Poland;;Israel;;2;0
2022/2028;Poland;;Italy;;6;0
2022/2028;Poland;;Japan;;4;0
2022/2028;Poland;;Lithuania;;8;79155,55513
2022/2028;Poland;;Latvia;;8;0
2022/2028;Poland;;Montenegro;;2;0
2022/2028;Poland;;Netherlands;;4;0
2022/2028;Poland;;Nigeria;;2;0
2022/2028;Poland;;Norway;;2;0
2022/2028;Poland;;Russia;;8;564660,089
2022/2028;Poland;;Scotland;;4;0
2022/2028;Poland;;Singapore;;2;0
2022/2028;Poland;;Serbia;;4;0
2022/2028;Poland;;Switzerland;;2;0
2022/2028;Poland;;Slovakia;;16;240100,0548
2022/2028;Poland;;Slovenia;;2;0
2022/2028;Poland;;Sweden;;4;1885054,183
2022/2028;Poland;;Thailand;;4;0
2022/2028;Poland;;Turkey;;10;0
2022/2028;Poland;;United Arab Emirates;;4;0
2022/2028;Poland;;Uganda;;2;0
2022/2028;Poland;;Ukraine;;20;0
2022/2028;Poland;;Venezuela;;2;0
2022/2028;Portugal;;Algeria;;2;0
2022/2028;Portugal;;Angola;;14;0
2022/2028;Portugal;;Argentina;;6;8518815,226
2022/2028;Portugal;;Azerbaijan;;4;0
2022/2028;Portugal;;Belgium;;12;0
2022/2028;Portugal;;Burkina Faso;;2;0
2022/2028;Portugal;;Brazil;;178;20663454,44
2022/2028;Portugal;;Bulgaria;;2;0
2022/2028;Portugal;;Chile;;2;447133,0645
2022/2028;Portugal;;China PR;;8;0
2022/2028;Portugal;;Côte d'Ivoire;;2;0
2022/2028;Portugal;;Cameroon;;2;0
2022/2028;Portugal;;Colombia;;2;7500000
2022/2028;Portugal;;Cape Verde Islands;;4;0
2022/2028;Portugal;;Croatia;;2;0
2022/2028;Portugal;;Cyprus;;18;0
2022/2028;Portugal;;Denmark;;2;0
2022/2028;Portugal;;Ecuador;;8;0
2022/2028;Portugal;;Egypt;;2;161433,2378
2022/2028;Portugal;;England;;20;245486,3484
2022/2028;Portugal;;Spain;;46;45887397,85
2022/2028;Portugal;;France;;26;2298056,927
2022/2028;Portugal;;Gabon;;4;0
2022/2028;Portugal;;Germany;;18;0
2022/2028;Portugal;;Ghana;;2;1614332,378
2022/2028;Portugal;;Guinea-Bissau;;2;0
2022/2028;Portugal;;Greece;;10;0
2022/2028;Portugal;;Guatemala;;2;0
2022/2028;Portugal;;Hungary;;6;0
2022/2028;Portugal;;India;;2;0
2022/2028;Portugal;;Iran;;4;0
2022/2028;Portugal;;Iceland;;2;0
2022/2028;Portugal;;Israel;;4;0
2022/2028;Portugal;;Italy;;16;0
2022/2028;Portugal;;Japan;;4;0
2022/2028;Portugal;;Saudi Arabia;;16;0
2022/2028;Portugal;;Moldova;;2;0
2022/2028;Portugal;;Mexico;;2;33000000
2022/2028;Portugal;;Mali;;2;0
2022/2028;Portugal;;Mozambique;;14;0
2022/2028;Portugal;;Netherlands;;10;39500577,66
2022/2028;Portugal;;Paraguay;;6;5400000
2022/2028;Portugal;;Peru;;4;840000
2022/2028;Portugal;;Poland;;4;0
2022/2028;Portugal;;Qatar;;6;0
2022/2028;Portugal;;Romania;;28;706368,1196
2022/2028;Portugal;;Russia;;10;20786644,38
2022/2028;Portugal;;Scotland;;4;0
2022/2028;Portugal;;Senegal;;4;0
2022/2028;Portugal;;Singapore;;2;0
2022/2028;Portugal;;Serbia;;6;0
2022/2028;Portugal;;Switzerland;;8;0
2022/2028;Portugal;;Slovakia;;4;0
2022/2028;Portugal;;Sweden;;4;2017915,473
2022/2028;Portugal;;Tunisia;;2;0
2022/2028;Portugal;;Turkey;;10;0
2022/2028;Portugal;;Uganda;;2;0
2022/2028;Portugal;;Ukraine;;4;157614,4586
2022/2028;Portugal;;Uruguay;;24;13475251,69
2022/2028;Romania;;Albania;;4;0
2022/2028;Romania;;Argentina;;2;0
2022/2028;Romania;;Austria;;2;0
2022/2028;Romania;;Azerbaijan;;6;0
2022/2028;Romania;;Belgium;;2;389256,4636
2022/2028;Romania;;Burkina Faso;;2;0
2022/2028;Romania;;Bosnia-Herzegovina;;2;0
2022/2028;Romania;;Bolivia;;2;150000
2022/2028;Romania;;Brazil;;34;240100,0548
2022/2028;Romania;;Bulgaria;;6;0
2022/2028;Romania;;Chile;;4;80716,6189
2022/2028;Romania;;China PR;;2;0
